feedback,sentiment,timestamp,department,patient_age_group,visit_type
The healthcare provider was extremely professional and caring. No delays in the appointment. Excellent treatment results.,2,2024-02-07 11:26:59.469349,Cardiology,75+,Follow-up
Exceptional service from the care team! The procedure went very well.,2,2024-02-07 11:26:59.470858,Neurology,18-30,Follow-up
"Regular interaction with the surgeon. Additionally, The treatment was okay.",1,2024-02-07 11:26:59.471404,Orthopedics,18-30,Procedure
Unacceptable delays.,0,2024-02-07 11:26:59.473718,Neurology,75+,Emergency
"Got seen right away. Moreover, specialist provided excellent care and attention. Moreover, The procedure went very well.",2,2024-02-07 11:26:59.474260,Oncology,31-45,Emergency
"Disappointed with the specialist's attitude. Additionally, Excessive waiting time.",0,2024-02-07 11:26:59.474339,Obstetrics,46-60,Emergency
The healthcare provider was present when needed.,1,2024-02-07 11:26:59.474690,Emergency,31-45,Routine Checkup
medical team provided excellent care and attention.,2,2024-02-07 11:26:59.475670,Emergency,61-75,Follow-up
Disappointed with the surgeon's attitude.,0,2024-02-07 11:26:59.477624,General Medicine,31-45,Emergency
Uncomfortable environment! The medical team seemed rushed and inattentive.,0,2024-02-07 11:26:59.479890,Oncology,75+,Follow-up
Very efficient process. The doctor was extremely professional and caring. Completely satisfied with the care received.,2,2024-02-07 11:26:59.482483,Obstetrics,75+,Procedure
"Impressed with how quickly I was seen. Moreover, Excellent facilities.",2,2024-02-07 11:26:59.483390,Cardiology,18-30,Routine Checkup
Poor treatment experience. Uncomfortable environment. The specialist was not very helpful.,0,2024-02-07 11:26:59.486353,Neurology,75+,Routine Checkup
Excellent treatment results! Very efficient process! The facility was clean and modern.,2,2024-02-07 11:26:59.486723,Neurology,31-45,Routine Checkup
"The facility was clean and modern. Also, The nurse was extremely professional and caring.",2,2024-02-07 11:26:59.488249,Surgery,46-60,Consultation
Regular treatment process! Standard hospital environment! healthcare provider did their job as expected.,1,2024-02-07 11:26:59.488839,Emergency,18-30,Consultation
Had to wait too long! Poor communication from the surgeon.,0,2024-02-07 11:26:59.489276,Pediatrics,61-75,Routine Checkup
Very effective treatment! Excellent facilities.,2,2024-02-07 11:26:59.490194,Obstetrics,75+,Routine Checkup
"Excessive waiting time. Additionally, Uncomfortable environment.",0,2024-02-07 11:26:59.492746,Oncology,61-75,Consultation
Normal wait times. Regular facility conditions. Treatment was as expected.,1,2024-02-08 11:26:59.444141,Pediatrics,75+,Follow-up
Exceptional service from the medical team.,2,2024-02-08 11:26:59.448284,Pediatrics,61-75,Consultation
"Impressed with how quickly I was seen. Also, Very effective treatment. Also, The nurse was extremely professional and caring.",2,2024-02-08 11:26:59.451074,Emergency,18-30,Consultation
"Treatment was as expected. Also, Acceptable cleanliness. Also, The wait was reasonable.",1,2024-02-08 11:26:59.454027,General Medicine,46-60,Follow-up
Exceptional service from the medical team.,2,2024-02-08 11:26:59.462004,Orthopedics,46-60,Follow-up
Minimal waiting time. The procedure went very well. Very comfortable environment.,2,2024-02-08 11:26:59.463012,Emergency,46-60,Routine Checkup
The healthcare provider was present when needed! Basic but functional facility.,1,2024-02-08 11:26:59.464726,Cardiology,31-45,Follow-up
"The staff member was present when needed. Additionally, Basic but functional facility. Additionally, The treatment was okay.",1,2024-02-08 11:26:59.467861,Oncology,75+,Emergency
Regular interaction with the medical team.,1,2024-02-08 11:26:59.470379,Obstetrics,75+,Emergency
"The procedure went very well. Additionally, doctor provided excellent care and attention.",2,2024-02-08 11:26:59.473302,Cardiology,31-45,Emergency
Got seen right away. The healthcare provider took time to explain everything clearly. Well-maintained hospital environment.,2,2024-02-08 11:26:59.473311,Cardiology,18-30,Routine Checkup
"The waiting time was frustrating. Additionally, The medical team didn't address my concerns.",0,2024-02-08 11:26:59.475908,Surgery,75+,Consultation
Excellent facilities.,2,2024-02-08 11:26:59.478108,Orthopedics,31-45,Procedure
"Poor communication from the surgeon. Moreover, The waiting time was frustrating. Moreover, The facility needs updating.",0,2024-02-08 11:26:59.478367,Pediatrics,61-75,Consultation
No delays in the appointment.,2,2024-02-08 11:26:59.479620,Obstetrics,61-75,Consultation
Cleanliness issues in the facility.,0,2024-02-08 11:26:59.480780,General Medicine,46-60,Routine Checkup
"The healthcare provider was not very helpful. Moreover, Unacceptable delays.",0,2024-02-08 11:26:59.481318,Cardiology,61-75,Emergency
"Normal wait times. Additionally, Standard procedure.",1,2024-02-08 11:26:59.484857,Orthopedics,18-30,Emergency
The surgeon took time to explain everything clearly.,2,2024-02-08 11:26:59.485288,Pediatrics,46-60,Routine Checkup
The facility needs updating.,0,2024-02-08 11:26:59.487470,Pediatrics,75+,Procedure
Unsatisfactory treatment outcome.,0,2024-02-08 11:26:59.490628,Pediatrics,31-45,Routine Checkup
Regular interaction with the nurse! The treatment was okay.,1,2024-02-08 11:26:59.491567,Emergency,18-30,Emergency
The procedure went very well! Very efficient process.,2,2024-02-08 11:26:59.492322,Emergency,18-30,Consultation
Standard procedure. Normal wait times. Regular interaction with the receptionist.,1,2024-02-09 11:26:59.444456,Surgery,61-75,Follow-up
The facility was clean and modern.,2,2024-02-09 11:26:59.444522,Cardiology,18-30,Follow-up
The treatment was okay.,1,2024-02-09 11:26:59.448394,Emergency,46-60,Consultation
The nurse was okay.,1,2024-02-09 11:26:59.449123,Cardiology,61-75,Consultation
Average waiting time.,1,2024-02-09 11:26:59.450428,Orthopedics,75+,Emergency
specialist provided excellent care and attention.,2,2024-02-09 11:26:59.450939,Obstetrics,61-75,Consultation
Impressed with how quickly I was seen.,2,2024-02-09 11:26:59.452637,Neurology,75+,Follow-up
Minimal waiting time! Very comfortable environment.,2,2024-02-09 11:26:59.461744,General Medicine,75+,Follow-up
Cleanliness issues in the facility. The doctor didn't address my concerns.,0,2024-02-09 11:26:59.464414,General Medicine,61-75,Procedure
"Very comfortable environment. Moreover, The healthcare provider took time to explain everything clearly.",2,2024-02-09 11:26:59.465194,Neurology,46-60,Emergency
"Outdated equipment. Moreover, Poor treatment experience.",0,2024-02-09 11:26:59.465576,Emergency,46-60,Consultation
"Disappointed with the doctor's attitude. Additionally, Cleanliness issues in the facility.",0,2024-02-09 11:26:59.468341,Neurology,18-30,Procedure
Unsatisfactory treatment outcome.,0,2024-02-09 11:26:59.468982,Orthopedics,61-75,Procedure
Very impressed with the nurse's expertise.,2,2024-02-09 11:26:59.471321,Emergency,18-30,Procedure
"Regular treatment process. Additionally, Normal wait times. Additionally, Basic but functional facility.",1,2024-02-09 11:26:59.472766,Orthopedics,46-60,Follow-up
Poor communication from the healthcare provider. Had to wait too long. Uncomfortable environment.,0,2024-02-09 11:26:59.474909,Oncology,18-30,Procedure
"Completely satisfied with the care received. Moreover, Well-maintained hospital environment. Moreover, Got seen right away.",2,2024-02-09 11:26:59.479159,Oncology,46-60,Emergency
"The waiting time was frustrating. Also, Outdated equipment.",0,2024-02-09 11:26:59.482369,Orthopedics,18-30,Procedure
Spent hours waiting.,0,2024-02-09 11:26:59.482477,Emergency,31-45,Consultation
"Disappointed with the nurse's attitude. Also, Unacceptable delays.",0,2024-02-09 11:26:59.486265,Pediatrics,61-75,Follow-up
Disappointed with the nurse's attitude.,0,2024-02-09 11:26:59.487809,Cardiology,31-45,Follow-up
"State-of-the-art equipment. Also, Got seen right away.",2,2024-02-09 11:26:59.488162,Oncology,61-75,Procedure
"Disappointed with the medical team's attitude. Additionally, Unacceptable delays. Additionally, Poor treatment experience.",0,2024-02-09 11:26:59.489194,Orthopedics,18-30,Consultation
"The specialist was extremely professional and caring. Additionally, Excellent facilities. Additionally, Very effective treatment.",2,2024-02-09 11:26:59.490694,Pediatrics,18-30,Procedure
The surgeon was not very helpful. Outdated equipment.,0,2024-02-09 11:26:59.493139,Orthopedics,18-30,Emergency
"Exceptional service from the surgeon. Also, Well-maintained hospital environment. Also, Very effective treatment.",2,2024-02-10 11:26:59.447331,Oncology,31-45,Routine Checkup
"The specialist took time to explain everything clearly. Additionally, Minimal waiting time.",2,2024-02-10 11:26:59.448134,Cardiology,75+,Emergency
Poor communication from the nurse. Outdated equipment.,0,2024-02-10 11:26:59.449830,Cardiology,61-75,Consultation
The facility needs updating! Unacceptable delays.,0,2024-02-10 11:26:59.450853,Cardiology,31-45,Follow-up
Very efficient process. The staff member was extremely professional and caring. Well-maintained hospital environment.,2,2024-02-10 11:26:59.454445,Oncology,46-60,Consultation
"Outdated equipment. Additionally, Had to wait too long. Additionally, The procedure didn't help much.",0,2024-02-10 11:26:59.455748,General Medicine,61-75,Consultation
"Great outcome from the treatment. Moreover, healthcare provider provided excellent care and attention. Moreover, Very efficient process.",2,2024-02-10 11:26:59.455974,Emergency,46-60,Consultation
"Very effective treatment. Also, The medical team took time to explain everything clearly. Also, No delays in the appointment.",2,2024-02-10 11:26:59.456682,Pediatrics,46-60,Routine Checkup
"Got seen right away. Also, Great outcome from the treatment. Also, medical team provided excellent care and attention.",2,2024-02-10 11:26:59.457292,Neurology,61-75,Follow-up
"The treatment wasn't effective. Moreover, Had to wait too long.",0,2024-02-10 11:26:59.458785,General Medicine,75+,Procedure
"Impressed with how quickly I was seen. Also, The surgeon took time to explain everything clearly.",2,2024-02-10 11:26:59.459064,General Medicine,75+,Emergency
"The physician was extremely professional and caring. Also, Well-maintained hospital environment.",2,2024-02-10 11:26:59.461555,Cardiology,75+,Emergency
"The facility was clean and modern. Also, The procedure went very well. Also, Very impressed with the surgeon's expertise.",2,2024-02-10 11:26:59.462300,Cardiology,61-75,Routine Checkup
Very comfortable environment. No delays in the appointment. The staff member took time to explain everything clearly.,2,2024-02-10 11:26:59.462343,General Medicine,18-30,Follow-up
"Completely satisfied with the care received. Also, The specialist was extremely professional and caring. Also, Very comfortable environment.",2,2024-02-10 11:26:59.462762,General Medicine,46-60,Consultation
The facility needs updating.,0,2024-02-10 11:26:59.463310,Surgery,61-75,Routine Checkup
"Poor maintenance of the premises. Additionally, Unacceptable delays.",0,2024-02-10 11:26:59.466508,Emergency,61-75,Routine Checkup
No delays in the appointment.,2,2024-02-10 11:26:59.467848,Obstetrics,18-30,Follow-up
"Cleanliness issues in the facility. Also, Excessive waiting time.",0,2024-02-10 11:26:59.470844,Obstetrics,61-75,Follow-up
Treatment was as expected! Waited as expected.,1,2024-02-10 11:26:59.471061,Emergency,46-60,Consultation
"The receptionist seemed rushed and inattentive. Also, Had to wait too long. Also, Poor maintenance of the premises.",0,2024-02-10 11:26:59.472420,Cardiology,31-45,Consultation
Completely satisfied with the care received.,2,2024-02-10 11:26:59.472780,Cardiology,46-60,Consultation
Disappointed with the staff member's attitude. The procedure didn't help much. Outdated equipment.,0,2024-02-10 11:26:59.477825,Obstetrics,61-75,Routine Checkup
"Regular treatment process. Additionally, Normal wait times. Additionally, The medical team was present when needed.",1,2024-02-10 11:26:59.479344,Emergency,61-75,Routine Checkup
"Poor maintenance of the premises. Additionally, The procedure didn't help much.",0,2024-02-10 11:26:59.479758,Cardiology,18-30,Procedure
"Minimal waiting time. Moreover, Exceptional service from the receptionist.",2,2024-02-10 11:26:59.483437,Emergency,61-75,Follow-up
The receptionist took time to explain everything clearly! Excellent treatment results! No delays in the appointment.,2,2024-02-10 11:26:59.488535,Cardiology,61-75,Follow-up
Not happy with the results.,0,2024-02-10 11:26:59.489892,General Medicine,75+,Consultation
Minimal waiting time! care team provided excellent care and attention.,2,2024-02-10 11:26:59.490842,Cardiology,75+,Routine Checkup
Very effective treatment. Minimal waiting time. surgeon provided excellent care and attention.,2,2024-02-10 11:26:59.491404,Neurology,75+,Procedure
Standard hospital environment. Regular interaction with the staff member. Standard procedure.,1,2024-02-10 11:26:59.491449,Cardiology,18-30,Procedure
"The procedure didn't help much. Moreover, Disappointed with the medical team's attitude. Moreover, Had to wait too long.",0,2024-02-11 11:26:59.444640,Obstetrics,61-75,Emergency
"Impressed with how quickly I was seen. Moreover, Excellent facilities.",2,2024-02-11 11:26:59.451892,Surgery,61-75,Follow-up
The healthcare provider seemed rushed and inattentive. Cleanliness issues in the facility. Unsatisfactory treatment outcome.,0,2024-02-11 11:26:59.452209,Orthopedics,31-45,Consultation
staff member did their job as expected.,1,2024-02-11 11:26:59.452551,Pediatrics,75+,Consultation
The specialist was not very helpful.,0,2024-02-11 11:26:59.454842,Surgery,18-30,Procedure
"Completely satisfied with the care received. Moreover, Very comfortable environment. Moreover, The care team was extremely professional and caring.",2,2024-02-11 11:26:59.455391,General Medicine,18-30,Consultation
Unacceptable delays! Uncomfortable environment.,0,2024-02-11 11:26:59.456830,Surgery,18-30,Emergency
Got seen right away.,2,2024-02-11 11:26:59.459761,Neurology,75+,Emergency
"The staff member was present when needed. Also, Basic but functional facility.",1,2024-02-11 11:26:59.461560,General Medicine,46-60,Follow-up
"Poor maintenance of the premises. Additionally, The receptionist seemed rushed and inattentive. Additionally, Excessive waiting time.",0,2024-02-11 11:26:59.463056,Oncology,61-75,Follow-up
